2023	6.18	-2.61	3.51	1.46	0.25	6.47	3.11	-1.77	-4.87	-2.20	8.92	4.42
2022	-5.26	-3.14	3.58	-8.80	0.01	-8.39	9.11	-4.24	-9.34	7.99	5.38	-5.90
2021	-1.11	3.01	4.24	5.24	0.55	2.22	2.43	3.31	-5.13	7.39	-1.09	4.36
2020	-0.16	-8.41	-12.51	13.08	4.53	2.24	5.51	7.01	-4.32	-3.17	11.15	3.71
2019	8.27	3.37	2.19	4.33	-6.58	7.29	1.31	-2.21	2.12	2.04	3.40	2.86
2018	6.02	-4.29	-3.09	0.27	2.16	0.48	4.00	3.03	0.43	-7.34	2.19	-9.18
2017	2.19	4.12	-0.40	1.31	1.16	0.48	2.33	0.05	2.33	2.22	3.21	0.98
2016	-5.07	-0.41	7.00	0.27	1.53	0.09	3.56	-0.12	-0.12	-2.34	3.42	1.82
2015	-3.1	5.49	-2.14	1.25	1.05	-2.10	2.37	-6.26	-3.04	8.30	0.05	-1.75
2014	-3.56	4.31	1.09	1.02	2.10	2.31	-1.51	4.17	-1.55	2.32	2.45	-0.42
2013	5.04	1.11	4.00	2.21	2.08	-1.50	5.35	-3.13	3.37	4.46	3.20	2.36
2012	4.36	4.06	3.13	-1.15	-6.27	4.36	1.26	2.38	2.42	-2.38	0.28	0.71
2011	2.26	3.20	-0.11	3.25	-1.35	-2.23	-2.15	-6.08	-7.18	11.17	-0.51	0.85
2010	-4.1	3.25	6.28	1.48	-8.20	-5.39	7.28	-5.15	9.16	4.09	-0.23	6.53
2009	-8.57	-11.39	8.54	9.39	5.31	0.02	7.41	3.36	3.57	-2.38	6.14	1.78
2008	-6.12	-3.48	-1.00	5.15	1.07	-9.00	-1.39	1.22	-9.08	-17.34	-7.49	0.78
2007	1.41	-2.18	1.00	4.33	3.26	-2.18	-3.20	1.29	3.58	1.48	-4.40	-0.86
2006	2.55	0.05	1.11	1.22	-3.09	0.01	0.51	2.13	2.46	3.15	2.05	1.26
2005	-2.53	2.29	-2.31	-2.01	3.00	-0.01	4.00	-1.12	1.09	-2.17	3.52	-0.09
2004	2.13	1.22	-2.04	-2.08	1.21	2.20	-3.43	0.23	1.34	1.40	4.26	3.25
2003	-3.14	-2.10	1.24	8.10	5.09	1.13	2.02	2.19	-1.20	5.50	1.11	5.08
2002	-1.56	-2.08	4.07	-6.14	-1.31	-7.25	-8.30	0.49	-11.00	9.04	6.11	-6.03
2001	3.46	-9.23	-6.42	8.08	0.51	-2.50	-1.08	-6.41	-8.17	2.21	7.52	0.76
2000	-5.09	-2.01	10.07	-3.08	-2.19	2.39	-2.03	6.07	-5.35	-0.49	-8.01	0.41
1999	4.1	-3.23	4.28	4.19	-2.50	5.44	-3.20	-1.03	-3.26	6.25	2.31	5.78
1998	1.02	7.04	5.39	1.31	-2.28	4.34	-1.16	-14.58	6.24	8.03	6.31	5.64
1997	6.13	0.59	-4.26	6.24	6.26	4.35	8.21	-6.14	5.32	-3.45	4.46	1.57
1996	3.26	1.09	1.19	1.34	2.29	0.23	-4.57	2.28	5.42	3.01	7.34	-2.15
1995	2.43	4.01	3.13	3.20	4.03	2.13	3.18	-0.03	4.01	-0.50	4.10	1.74
1994	3.25	-3.00	-4.57	1.15	1.24	-3.08	3.15	4.16	-3.09	2.09	-4.35	1.23
1993	1.1	1.05	2.27	-2.54	2.27	0.08	-0.53	3.44	-1.00	2.34	-1.29	1.01
1992	-2.39	1.36	-2.18	3.19	0.10	-2.14	4.34	-2.40	1.31	0.21	3.03	1.01
1991	4.15	7.13	2.22	0.03	4.26	-5.19	4.49	2.36	-2.31	1.19	-4.39	11.16
1990	-7.28	1.25	2.43	-3.09	9.20	-1.29	-0.52	-9.43	-5.12	-1.07	6.39	2.48